
1,PWHL Minnesota,12,21,7,3,2,0,0.583
2,PWHL Montreal,12,21,7,2,2,1,0.583
3,PWHL Toronto,11,17,6,5,0,0,0.515
4,PWHL New York,11,15,6,4,1,0,0.455
5,PWHL Ottawa,10,13,3,3,4,0,0.433
6,PWHL Boston,10,12,4,4,2,0,0.400
